group,gene,mean
A.2w,gene_F,5.80E-05
A.4w,gene_F,1.57E-05
B.2w,gene_F,5.89E-05
B.4w,gene_F,4.35E-05
C.2w,gene_F,6.00E-05
C.4w,gene_F,2.08E-05
H,gene_F,1.20E-05
A.2w,gene_G,5.03E-09
A.4w,gene_G,1.27E-09
B.2w,gene_G,8.07E-09
B.4w,gene_G,1.75E-08
C.2w,gene_G,5.40E-09
C.4w,gene_G,5.19E-09
H,gene_G,8.41E-10
A.2w,gene_H,6.54E-09
A.4w,gene_H,4.81E-10
B.2w,gene_H,1.64E-09
B.4w,gene_H,1.59E-07
C.2w,gene_H,1.04E-08
C.4w,gene_H,6.05E-08
H,gene_H,4.10E-09
A.2w,gene_I,3.85E-08
A.4w,gene_I,2.87E-09
B.2w,gene_I,9.30E-09
B.4w,gene_I,8.44E-07
C.2w,gene_I,8.77E-09
C.4w,gene_I,3.25E-07
H,gene_I,2.35E-08
A.2w,gene_J,3.10E-06
A.4w,gene_J,1.06E-06
B.2w,gene_J,2.70E-06
B.4w,gene_J,4.25E-06
C.2w,gene_J,3.08E-06
C.4w,gene_J,2.16E-06
H,gene_J,2.08E-06
